        x           yn          zn          ∫yn² 
1.092184305e+00 -2.889034200e+02 -9.035491584e+01 1.969075496e+14
1.112224385e+00 -2.906785181e+02 -8.605908521e+01 2.118214925e+14
1.132264465e+00 -2.923653643e+02 -8.150354454e+01 2.277935926e+14
1.152304545e+00 -2.939587075e+02 -7.668274368e+01 2.448911897e+14
1.172344625e+00 -2.954531871e+02 -7.159137461e+01 2.631851115e+14
1.192384705e+00 -2.968433388e+02 -6.622439824e+01 2.827497720e+14
1.212424785e+00 -2.981235993e+02 -6.057707421e+01 3.036632648e+14
1.232464865e+00 -2.992883133e+02 -5.464499016e+01 3.260074470e+14
1.252504945e+00 -3.003317400e+02 -4.842409276e+01 3.498680159e+14
1.272545025e+00 -3.012480605e+02 -4.191072061e+01 3.753345732e+14
1.292585105e+00 -3.020313863e+02 -3.510163665e+01 4.025006779e+14
1.312625185e+00 -3.026757675e+02 -2.799406222e+01 4.314638843e+14
1.332665265e+00 -3.031752027e+02 -2.058571304e+01 4.623257640e+14
1.352705345e+00 -3.035236494e+02 -1.287483427e+01 4.951919096e+14
1.372745425e+00 -3.037150341e+02 -4.860237354e+00 5.301719175e+14
1.392785504e+00 -3.037432650e+02 3.458661642e+00 5.673793477e+14
1.412825584e+00 -3.036022436e+02 1.208180498e+01 6.069316581e+14
1.432865664e+00 -3.032858784e+02 2.100845327e+01 6.489501110e+14
1.452905744e+00 -3.027880984e+02 3.023714718e+01 6.935596478e+14
1.472945824e+00 -3.021028686e+02 3.976566778e+01 7.408887301e+14
1.492985904e+00 -3.012242047e+02 4.959099575e+01 7.910691444e+14
1.513025984e+00 -3.001461901e+02 5.970927270e+01 8.442357659e+14
1.533066064e+00 -2.988629927e+02 7.011575992e+01 9.005262794e+14
1.553106144e+00 -2.973688831e+02 8.080479954e+01 9.600808540e+14
1.573146224e+00 -2.956582533e+02 9.176977517e+01 1.023041767e+15
1.593186304e+00 -2.937256361e+02 1.030030719e+02 1.089552975e+15
1.613226384e+00 -2.915657255e+02 1.144960393e+02 1.159759630e+15
1.633266464e+00 -2.891733977e+02 1.262389536e+02 1.233807529e+15
1.653306544e+00 -2.865437333e+02 1.382209811e+02 1.311842514e+15
